,County,Year,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,COUNTY POP
78,75,2015,383.7451647366711,308.8345137597673,322.0709205638371,309.4019626245993,322.5900552736969,290.9146244152994,292.8025240696131,295.6378280753698,292.16714101444626,307.8385657084346,353.1737794407076,421.3906486805239,799169
79,55,2015,659.6930521849988,530.7702150655007,561.0582730220652,532.474756285841,535.3282056816143,614.9299137724064,693.8438614484243,707.4898795356446,666.9182510134347,599.2344052836412,637.8981143627284,755.6594576775282,136484
80,1,2015,477.0638568276553,384.4321962287635,399.2286919874621,369.581800601587,380.7121381733621,393.9646618948737,419.9690982629973,426.084737828136,415.1681624746264,398.97461698516884,446.1954554445407,531.8390035364428,1435704
81,13,2015,573.4308512117277,457.58603642454887,470.3599349811873,442.864184588142,453.6501800527581,602.0583492546392,653.1248097059259,644.3696230812396,606.129961661466,519.1518424274838,528.3003955953558,631.8040495665892,1047834
82,95,2015,566.3028522708312,450.8946263475895,469.55565824134044,447.54035047676393,452.86678867865913,613.281227857051,677.202788529469,670.8668431448712,624.1998740394414,533.640732969474,518.3913605637985,616.8609882762242,408700
83,97,2015,615.0370239197931,498.75996595761006,512.2782935672152,481.05420391403277,482.2175256825114,494.8584991917421,535.0223744276003,544.4399194799764,526.561201722899,510.1548460940364,576.5626961941339,686.0534399790255,483203
84,67,2015,975.5290520873199,748.8009219699021,711.8414566196692,669.4875448835598,707.1695757588212,1022.0854280020333,1100.181221497356,1057.5081520197155,906.2897330160805,768.9102017283669,845.212972475415,1046.9880067488061,38995
85,41,2015,589.1921059084727,466.3368507632959,473.43621893569986,438.1666633701401,443.6372159495658,435.307426240307,459.7559874682679,470.45498100556875,466.5485503918993,466.6530488792729,537.813278751781,646.4190394373784,252317
86,87,2015,546.4357163889844,453.1930656782408,461.28036997502744,438.21914819594593,443.4137101284588,410.9142579554663,427.3066082849321,431.0495455317266,422.40193976240886,439.6917244473681,526.3413768196102,619.9353245564034,262382
87,77,2015,664.0317803462713,516.9963254186985,532.6657953192117,510.58013692703156,544.1701726219278,866.0403645055972,950.7231587488761,901.224010751866,768.142802295839,620.7474067304615,596.4918901883159,710.5448370457802,683691
88,9,2015,717.7570847259408,572.2887644588249,564.7769607554919,538.342085272597,550.5315351540532,756.1580850485504,839.300594350866,784.2375057598755,638.9736423120879,569.8967767167887,681.0418210425136,847.5046837327912,45414
